序号,类别,算法/文件名称,官方压缩包,仓库内解压目录,文件数,解压后大小(字节),官方压缩包SHA256,官方下载地址,官方页面
064,Key Encapsulation,PolarLAC,PolarLAC.zip,01-public-key/02-key-encapsulation/PolarLAC,663,20143834,906be26ce8d27de335b691ff8490b2344b46d7519d88c799cba0242324e4882c,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/PolarLAC.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101501254599004160.html
065,Key Encapsulation,QIMEN-PIKE,QIMEN-PIKE.zip,01-public-key/02-key-encapsulation/QIMEN-PIKE,472,42976044,eff17fd345bbb44cbaeb822bece3c0b82b8d00f49278e72a89c83e2551c1752a,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/QIMEN-PIKE.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101500333840224256.html
066,Key Encapsulation,Quasi-Cyclic Twisted McEliece Key Encapsulation Mechanism,QCTM.zip,01-public-key/02-key-encapsulation/QCTM,230,151156687,24a3986a4fbb852a677267a6443756328eae3642af770e767fe38f8291f294db,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/QCTM.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101500178147659776.html
067,Key Encapsulation,QUBE,QUBE.zip,01-public-key/02-key-encapsulation/QUBE,325,14863246,f5eedd8a4bf786cd5a56a21f2c7ad5cf3307939a1bf0aeca5041920067880396,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/QUBE.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101500001315803136.html
068,Key Encapsulation,Rudraksh2,Rudraksh2.zip,01-public-key/02-key-encapsulation/Rudraksh2,3658,41959639,569d526cf7abe38393f69a4513686fa86a0c3b3033cc225b84cc107b20b17b98,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/Rudraksh2.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101499809782910976.html
069,Key Encapsulation,Scloud+,Scloud+.zip,01-public-key/02-key-encapsulation/Scloud+,121,23728930,050aad7293ec90fafd9070e82877eedc81caf0aaaca932c995619a3f35429876,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/Scloud%2B.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101499583567319040.html
070,Key Encapsulation,TRIKE,TRIKE.zip,01-public-key/02-key-encapsulation/TRIKE,135,9067683,03956a13fde3d402513bfcf9942f2b04fd23e98b01a3dc52b48938b9c89fe4d6,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/TRIKE.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101499390209904640.html
071,Key Encapsulation,TriQ-KEM,TriQ-KEM.zip,01-public-key/02-key-encapsulation/TriQ-KEM,288,23239559,1e4b96e7a849c95b4a6511c5739be9e0b4adf19b00195c2c0ce14f66be316876,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/TriQ-KEM.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101499199985635328.html
072,Key Encapsulation,UVW Key Encapsulation Mechanism,UVW-KEM.zip,01-public-key/02-key-encapsulation/UVW-KEM,94,149926656,f9a1b135ea16aca0c974861732e03cd3164f1288f33ff150ff66c98326b75bcb,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/UVW-KEM.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101498913376260096.html
073,Key Encapsulation,Weaver,Weaver.zip,01-public-key/02-key-encapsulation/Weaver,323,7232768,9b0bad96e9bc836b0ff811492a70891066df5634ee47fda4d1518dccd4e09927,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/Weaver.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101498729367949312.html
074,Key Encapsulation,YuanYang.KEM,YuanYang.KEM.zip,01-public-key/02-key-encapsulation/YuanYang.KEM,138,21879674,fe1bf3d78272bb79048e7d456819160324c6140206798cb77a22c2babcfdcf4a,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/YuanYang.KEM.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101498553312038912.html
075,Key Encapsulation,ZEN,ZEN.zip,01-public-key/02-key-encapsulation/ZEN,5658,72992418,69eba070320fc6cb365fb6d43d2b74460487732aeb7e607fac2d6c1b3a64a80e,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Encapsulation/ZEN.zip,https://www.niccs.org.cn/niccs/R1KeyEncapsulation/pc/content/content_2101498315453059072.html
076,Key Exchange,ADKEX (Authenticated Ding Key Exchange),ADKEX.zip,01-public-key/03-key-exchange/ADKEX,1557,17869666,bbadecca0ce9d3f3131129b17c91e0ab89a81e077710e53f7a569a30475a23f2,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Exchange/ADKEX.zip,https://www.niccs.org.cn/niccs/R1KeyExchange/pc/content/content_2101496452469051392.html
077,Key Exchange,AFS-KEX,AFS-KEX.zip,01-public-key/03-key-exchange/AFS-KEX,1794,20213680,7d902107b74870e512c84da82c6bfb386633ca864ddc7df2f7b0b183511f983a,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Exchange/AFS-KEX.zip,https://www.niccs.org.cn/niccs/R1KeyExchange/pc/content/content_2101496186252382208.html
078,Key Exchange,CreTAKE,CreTAKE.zip,01-public-key/03-key-exchange/CreTAKE,1551,38722946,0b356074741bc20fa82132719e1678e001083b9746f5c4c582425b727b511741,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Exchange/CreTAKE.zip,https://www.niccs.org.cn/niccs/R1KeyExchange/pc/content/content_2101495927828729856.html
079,Key Exchange,DKEX (Ding Key Exchange),DKEX.zip,01-public-key/03-key-exchange/DKEX,2145,23179046,979c22239b4a2fb6732e68029c06659f8a7b582c00ca163e1ec72874b227e117,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Exchange/DKEX.zip,https://www.niccs.org.cn/niccs/R1KeyExchange/pc/content/content_2100889723003817984.html
080,Key Exchange,Loom,Loom.zip,01-public-key/03-key-exchange/Loom,748,34322607,e9e7ff0fb453a371634797febeaeac7c1f081b5fd2438204787c763667482ec4,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Exchange/Loom.zip,https://www.niccs.org.cn/niccs/R1KeyExchange/pc/content/content_2100889434439897088.html
081,Key Exchange,MAMBA-NIKE,MAMBA-NIKE.zip,01-public-key/03-key-exchange/MAMBA-NIKE,720,17296558,79b53ff726121ccb1ce970003c06b605e973c4e4f452dbe780e70cd4c40ca018,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Exchange/MAMBA-NIKE.zip,https://www.niccs.org.cn/niccs/R1KeyExchange/pc/content/content_2100889280743821312.html
082,Key Exchange,NEV-AKE,NEV-AKE.zip,01-public-key/03-key-exchange/NEV-AKE,791,20299719,da75005b4060167f25125cbd1a769ed872c8b6fcb770fe0827a599e44536e8e6,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Exchange/NEV-AKE.zip,https://www.niccs.org.cn/niccs/R1KeyExchange/pc/content/content_2100889075738824704.html
083,Key Exchange,NIIKE,NIIKE.zip,01-public-key/03-key-exchange/NIIKE,294,37316400,4f79f9a62aed06db83f2965abcc42ca98ce5cc2128cebd15b50a46cfbb633dbe,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Exchange/NIIKE.zip,https://www.niccs.org.cn/niccs/R1KeyExchange/pc/content/content_2100888831449976832.html
084,Key Exchange,TriQ-KEX,TriQ-KEX.zip,01-public-key/03-key-exchange/TriQ-KEX,288,36929896,dde9bf3e8d75fc3df53bcbcacaba4faed39272b8ef2f1ac199ae0128d327b505,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Key%20Exchange/TriQ-KEX.zip,https://www.niccs.org.cn/niccs/R1KeyExchange/pc/content/content_2100888002600980480.html
085,Hash,AFS-TrEDM,AFS-TrEDM.zip,02-hash/AFS-TrEDM,228,30279281,6a4b3d3ca5c225ad7d8714878e12f10cbf92aa6e081a8b85f504b6eeb2f4188b,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/AFS-TrEDM.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101541113569038336.html
086,Hash,AXIS: Advanced eXpandable Iterative Stream-based Hash,AXIS.zip,02-hash/AXIS,85,12225779,a7c6aa6d30642cc05207acb4d2aa3701dd40945cb21f1bc0e51305ca8f57f81d,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/AXIS.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101540899009417216.html
087,Hash,C Hash,C Hash.zip,02-hash/C Hash,95,17044667,d6b40f34b4c4af7ab1929816d8613220ed669aace6bfdd8d2e9496d90ddc5438,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/C%20Hash.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101540728942972928.html
088,Hash,CHAMP,CHAMP.zip,02-hash/CHAMP,47,11273466,8953f95618236d8d86191992b10e3580ae74520c28a36a715c2fc8bea2a9e8c1,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/CHAMP.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101540375996485632.html
089,Hash,Cryptographic Hash Algorithm uHash,uHash.zip,02-hash/uHash,50,41718632,c398e49530510c9aa1deffd617855f9b8db448b4e30a35953d88ea0373c7d8e5,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/uHash.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101540182026702848.html
090,Hash,Cuishen,Cuishen.zip,02-hash/Cuishen,206,37059304,b9192c8a4046d8af48ea19ddefd538f11dd456766b2daf3597762c76a2cc0d6d,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Cuishen.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101539989910802432.html
091,Hash,Dragon Hash Family,Dragon.zip,02-hash/Dragon,2763,272709160,088759817e3193e0ca02c3a3669fd05ac70e833b0447f336666268b61846b26c,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Dragon.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101539781751689216.html
092,Hash,Duet,Duet.zip,02-hash/Duet,181,27995208,989978bcefbe20124943b2003908226c48e0f05b5ec8db510e7cdb89c2299f1e,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Duet.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101539583977672704.html
093,Hash,Eijen Hash Function,Eijen.zip,02-hash/Eijen,177,31240899,5e2581d905b9a3d3a8c34c76ed73213c77da970a15cc6b3b26b2bb086b93e3f4,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Eijen.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101539361927024640.html
094,Hash,FEILIAN,FEILIAN.zip,02-hash/FEILIAN,74,51145957,876082a40ecf3b25d8b19478cbfeab4bd5f96ff7a293aacc5b57a9f73c2ff26c,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/FEILIAN.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101539111250251776.html
095,Hash,Garnet,Garnet.zip,02-hash/Garnet,123,50235635,9cb659f7e01a64bdcce2a4fea8a7d6e6b5687b2a0ed8ce4ffe5fa86dd3e77646,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Garnet.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101538925484527616.html
096,Hash,Iphe,Iphe.zip,02-hash/Iphe,2054,61588218,42ceda5aa3da2fc74c2b21abfaace3f5af208aab40ef00fcca6d18cdd7a0a844,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Iphe.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101538722543128576.html
097,Hash,JuziHash,Juzi.zip,02-hash/Juzi,45,7197632,487f73e34dac7a06ae6718c4a38bcf757c1555676b107415f7b79b17d8c9cf92,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Juzi.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101538489901862912.html
098,Hash,Laurus,Laurus.zip,02-hash/Laurus,73,62361136,9499a772e532577f85902c0f631a95af8e2fb4bc308da6466c076debd63d1415,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Laurus.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101538290232020992.html
099,Hash,Litchi,Litchi.zip,02-hash/Litchi,71,62475383,16c798c93c6fbdc9ac3703113c120fe22df46569a93d7322aaba46effa3273eb,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Litchi.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101538083238924288.html
100,Hash,LLH,LLH.zip,02-hash/LLH,133,78306212,e79ca6ef17bcf0485ae2462cfe338e904f05551d7a8859271354d469072b3c2d,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/LLH.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101537750001471488.html
101,Hash,MasterCube,MasterCube.zip,02-hash/MasterCube,225,48864610,1f9773b8ece90152a6a9adc632a7112c9afc670a5d28b7f1e9ac111e5eea8f13,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/MasterCube.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101537586067099648.html
102,Hash,Megascon Hash Function,Megascon.zip,02-hash/Megascon,111,34469523,70d0796942e60a1ddd25ad2332dbfe2755052825c301e9585167c90c1fa09d3d,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Megascon.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101537413073031168.html
103,Hash,MoFang Hash Function,MoFang.zip,02-hash/MoFang,89,19504420,dfdd7dd54361fb09e6d0bc47ae6245a9f992f284c56b04ff55d528e2339c9acc,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/MoFang.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101537228439769088.html
104,Hash,Mozi Hash Function,Mozi.zip,02-hash/Mozi,149,57995370,f68c6b73ff4ac064e6bb8a9b74c4bd8a929594c3c48c89e1a65941e03676ea30,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Mozi.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101537013422968832.html
105,Hash,Neulaser,Neulaser.zip,02-hash/Neulaser,93,20906748,ffa76faaf6ae1c939ef6b1a726d6bcef19f0f0df63daddfe74a82e2831c4c6b3,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Neulaser.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101536800629149696.html
106,Hash,Pavelor: A Highly Secure Hash Algorithm for Software Implementation,Pavelor.zip,02-hash/Pavelor,52,222898654,0414e5f0039c2d352eb00c125554114931363dcea6b382052fdd20fbf25e0c31,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Pavelor.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101536571221692416.html
107,Hash,QILIN,QILIN.zip,02-hash/QILIN,61,36245043,10335345f6a6cca5e4be688ef42230dff983049483acecbd43f38febb7618609,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/QILIN.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101536372126470144.html
108,Hash,QuantaSylva Hash,QSH.zip,02-hash/QSH,155,20116259,d2b33441b42825ea10fd374adfdafea64525ad471159b4787c6dc2bd420f05d9,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/QSH.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101536223673274368.html
109,Hash,TaiChi,TaiChi.zip,02-hash/TaiChi,884,39008307,013bdcd9c7fdcce5bfbfaae84f02f20c5c4ae8a88cb742e7da3fddafeef2e7de,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/TaiChi.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101536036577955840.html
110,Hash,The Hash Function CHIME,CHIME.zip,02-hash/CHIME,56,9439702,3368eff8f86744eefba82825c11990a3b4d914e014ff184324ab3cb9af88b3a4,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/CHIME.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101535839617634304.html
111,Hash,The Vedak Hash Function Family,Vedak.zip,02-hash/Vedak,64,19958021,dc1fa5612337e0aae3e236606c3e46322a513c21b1550ac8f20753790892637e,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Vedak.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101535609849466880.html
112,Hash,The XRH-1 Hash Function,XRH-1.zip,02-hash/XRH-1,93,16422971,0aa9a5a64a54ddaa82b689d46971973825e48e0577685317d5f9bbab9ba85b02,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/XRH-1.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101535400742440960.html
113,Hash,The XRH-2 Hash Function,XRH-2.zip,02-hash/XRH-2,93,16422608,96b67428bbeda82fd797d6f510466313a23f90ea00a5a0a58f4929b8e554a45b,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/XRH-2.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101534893223268352.html
114,Hash,The ZC-DM Hash Function,ZC-DM.zip,02-hash/ZC-DM,227,25807229,47e6297d4d707897c64a75a0b490152b2c67abfb1777d89d225b4bcf58a0063b,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/ZC-DM.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101534683994607616.html
115,Hash,The ZC-DMC Hash Function,ZC-DMC.zip,02-hash/ZC-DMC,227,25924877,b6da323d388d3411b882228152f25626999502b8c246cc0c9b64a0a9d72eaaac,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/ZC-DMC.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101534457934204928.html
116,Hash,The ZC-EDMC Hash Function,ZC-EDMC.zip,02-hash/ZC-EDMC,227,25838142,235157f178c0ec885dad4062ee232cdc0d16e95474f05c6f93038fd951ca3712,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/ZC-EDMC.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101534201922277376.html
117,Hash,Thunder Hash Family,Thunder.zip,02-hash/Thunder,2865,271642966,db6970d54250084ea73cc1a47bd56c868e5e478cdfa3746ff7b69d30c690b0c8,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Thunder.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101533797931110400.html
118,Hash,WChain Hash Function,WChain.zip,02-hash/WChain,116,40385053,1ffeb0bd3f3645ea43decaacb0233c7dd23b9b127ac092efc0c12d6661f84023,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/WChain.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101533578757754880.html
119,Hash,Wish Hash Function,Wish.zip,02-hash/Wish,201,10836573,f878ea89f5b5929c26445a4b1967f21139c74600d5779e4eb5d0bd7f97bea4b5,https://www.niccs.org.cn/niccs/Proposal/Cryptographic%20Hash%20Algorithms/Round%201%20candidates/Wish.zip,https://www.niccs.org.cn/niccs/Round1Submissions4/pc/content/content_2101533368094642176.html
120,算法API,API_BlockCipher.zip,API_BlockCipher.zip,03-api/API_BlockCipher,11,177443,95b9848d0593b0db8733bc150112bbb19afdc440188185f68a6e8e8e6ab37ca5,https://www.niccs.org.cn/niccs/Download/API_BlockCipher.zip,
121,算法API,API_PKC.zip,API_PKC.zip,03-api/API_PKC,17,99359,ac1013aa9b720a5f22986bc75a48988b4eedfd77a7fb108e79781d5a05fc9506,https://www.niccs.org.cn/niccs/Download/API_PKC.zip,
122,算法API,API_CryptHash.zip,API_CryptHash.zip,03-api/API_CryptHash,10,2322532,5c7fdb3a1057291810fb5a28186e7a7e1d7182c2e7e746d94a053479b77c61d7,https://www.niccs.org.cn/niccs/Download/API_CryptHash.zip,
